Date,Category,Sales,Price,Discount,TrendScore,Stock,Rating,MarketingBudget,Month,Quarter,DayOfWeek,Trend
2024-01-01,Dress,152,1010,20,8.017219002454922,120,3.7340279606636546,87386,1,1,0,0
2024-01-01,T-Shirt,124,237,40,6.41003510568888,763,4.476332709423279,69820,1,1,0,0
2024-01-01,Sweater,238,955,10,2.636424704863906,376,4.4262222644415745,90305,1,1,0,1
2024-01-01,Jacket,278,1006,0,5.722971942325502,610,3.709240790978063,7747,1,1,0,1
2024-01-01,Pants,64,339,20,4.442157921404465,343,4.388621853293063,16394,1,1,0,0
2024-01-02,Dress,100,796,40,5.054493267725887,373,4.92332830588,78969,1,1,1,0
2024-01-02,T-Shirt,58,714,10,7.158097238609412,466,4.524895278238187,53555,1,1,1,0
2024-01-02,Sweater,203,184,0,3.3290198344001523,971,4.633042115476479,71557,1,1,1,1
2024-01-02,Jacket,336,1279,30,2.6636900997297435,802,4.763427161892498,76211,1,1,1,1
2024-01-02,Pants,63,965,30,1.4070456001948426,395,4.766800773017227,29300,1,1,1,0
2024-01-03,Dress,131,1028,40,6.280760490974634,316,3.9214017645310713,13571,1,1,2,0
2024-01-03,T-Shirt,90,1330,40,1.6709557931179373,938,4.1351022210595545,67592,1,1,2,0
2024-01-03,Sweater,372,1236,20,2.7895816367992463,491,4.593510752061481,17666,1,1,2,1
2024-01-03,Jacket,259,380,10,2.0428215357261674,234,4.7750578666846994,83603,1,1,2,1
2024-01-03,Pants,82,1221,40,7.566455605042576,971,3.9120826894850964,75592,1,1,2,0
2024-01-04,Dress,150,792,0,7.495565690483859,602,4.656450769931841,95982,1,1,3,0
2024-01-04,T-Shirt,76,542,10,1.2287721406968566,560,3.8025788035030943,55015,1,1,3,0
2024-01-04,Sweater,296,634,40,5.858569821715058,640,3.8431972482374337,67623,1,1,3,1
2024-01-04,Jacket,278,1416,30,9.367278871083158,656,3.943450528756571,7693,1,1,3,1
2024-01-04,Pants,77,1201,30,2.6791305299743224,897,4.8249203883783025,23047,1,1,3,0
2024-01-05,Dress,141,1404,0,3.4491902444617177,382,4.140661682939385,97787,1,1,4,0
2024-01-05,T-Shirt,52,859,20,4.7566990283390105,776,4.538654049335405,18545,1,1,4,0
2024-01-05,Sweater,325,1406,30,4.272666421413646,596,3.880873120901517,88211,1,1,4,1
2024-01-05,Jacket,189,1286,40,3.5635644493972087,180,3.9001715214129273,99209,1,1,4,0
2024-01-05,Pants,179,369,40,4.105641232240147,484,3.8593428360004585,92092,1,1,4,0
2024-01-06,Dress,117,352,20,3.179439444496833,393,4.05167469907888,57083,1,1,5,0
2024-01-06,T-Shirt,147,347,20,8.347886858974455,243,4.752953743383857,47107,1,1,5,0
2024-01-06,Sweater,298,809,30,7.098079256580542,502,4.566724298657027,16411,1,1,5,1
2024-01-06,Jacket,315,638,0,4.578148189787701,650,4.905094983105101,42504,1,1,5,1
2024-01-06,Pants,60,622,10,9.322242564507064,397,3.8869124415727336,51843,1,1,5,0
2024-01-07,Dress,193,495,0,5.6497230214391285,980,3.8627784363506774,25932,1,1,6,0
2024-01-07,T-Shirt,86,1333,20,2.6983639750724144,332,4.0238143619189914,20151,1,1,6,0
2024-01-07,Sweater,299,301,0,6.77828481538859,686,4.9034524913314215,10539,1,1,6,1
2024-01-07,Jacket,336,403,20,4.350544899055688,572,4.495252653662083,73497,1,1,6,1
2024-01-07,Pants,177,1027,10,5.37052378227604,262,4.477941889253901,99179,1,1,6,0
2024-01-08,Dress,117,950,40,2.6094043829919595,603,4.474449348570822,51214,1,1,0,0
2024-01-08,T-Shirt,194,789,0,5.882862074994094,982,4.454498927278843,22429,1,1,0,0
2024-01-08,Sweater,288,712,20,4.909549289593858,376,4.2539556396577884,44790,1,1,0,1
2024-01-08,Jacket,257,808,30,1.2188436978830846,148,3.5654056576316506,61491,1,1,0,1
2024-01-08,Pants,95,667,20,7.729468965076725,136,4.892477843881588,5301,1,1,0,0
2024-01-09,Dress,144,1272,30,8.677085099206241,290,3.958545528930773,11102,1,1,1,0
2024-01-09,T-Shirt,116,277,10,6.0112113621251515,834,4.7663197110894675,56885,1,1,1,0
2024-01-09,Sweater,286,1461,10,3.2874728416276486,589,4.816059607891933,71320,1,1,1,1
2024-01-09,Jacket,285,395,40,3.6685912928301865,637,4.715170092018771,34592,1,1,1,1
2024-01-09,Pants,62,977,10,1.046663764965881,135,4.697442768450163,7368,1,1,1,0
2024-01-10,Dress,57,661,30,8.97955434055594,242,4.063374428959916,83657,1,1,2,0
2024-01-10,T-Shirt,81,876,20,5.190382163192141,674,4.972761332465796,27677,1,1,2,0
2024-01-10,Sweater,264,454,30,1.3495126098648087,882,4.0402859621168945,73027,1,1,2,1
2024-01-10,Jacket,346,413,40,3.443886242377677,719,4.4343357137285,92235,1,1,2,1
2024-01-10,Pants,55,1026,30,4.702185145510107,966,4.45614485224731,78523,1,1,2,0
2024-01-11,Dress,193,418,10,5.646703134710758,769,3.561601275151814,78847,1,1,3,0
2024-01-11,T-Shirt,112,1231,10,1.2281566907391177,216,3.6213094499257963,6150,1,1,3,0
2024-01-11,Sweater,297,1162,0,2.559648880637612,612,4.163528344596656,51175,1,1,3,1
2024-01-11,Jacket,392,709,0,6.941776390459581,984,4.457405890765026,18500,1,1,3,1
2024-01-11,Pants,118,939,40,4.776400561850109,175,4.3490558157411146,74042,1,1,3,0
2024-01-12,Dress,135,846,40,2.0446537645622462,168,3.6412354824028403,56293,1,1,4,0
2024-01-12,T-Shirt,193,367,10,5.4245428760514915,650,4.019456481634101,61573,1,1,4,0
2024-01-12,Sweater,272,671,40,8.980123485682428,279,4.061918921939707,28289,1,1,4,1
2024-01-12,Jacket,353,918,40,7.15567392458327,115,3.605853121100645,35977,1,1,4,1
2024-01-12,Pants,177,309,20,8.208543652141596,789,4.3600505625079,96680,1,1,4,0
2024-01-13,Dress,150,1441,20,8.383841593941412,267,4.858025962934096,94643,1,1,5,0
2024-01-13,T-Shirt,78,546,30,1.9070020123968399,997,3.5584446984653506,32350,1,1,5,0
2024-01-13,Sweater,319,925,40,8.60387779872509,701,4.01093685419636,62458,1,1,5,1
2024-01-13,Jacket,260,1369,10,7.270634488277356,592,4.904972227783561,12543,1,1,5,1
2024-01-13,Pants,70,1170,0,5.931746949232786,968,4.625922127461287,52295,1,1,5,0
2024-01-14,Dress,148,1127,0,7.987716646677971,763,4.800674910814584,37479,1,1,6,0
